NrLf,UVP_PL,CZK MOC
526801970851,3799,102599
526801970847,3799,102599
526801970843,3799,102599
526801970840,3799,102599
526801970651,3599,97199
526801970647,3599,97199
526801970643,3599,97199
526801970640,3599,97199
526801960851,3799,102599
526801960847,3799,102599
526801960843,3799,102599
526801960840,3799,102599
526801960651,3599,97199
526801960647,3599,97199
526801960643,3599,97199
526801960640,3599,97199
526801930857,3799,102599
526801930851,3799,102599
526801930847,3799,102599
526801930843,3799,102599
526801930657,3599,97199
526801930651,3599,97199
526801930647,3599,97199
526801930643,3599,97199
526801920857,3799,102599
526801920851,3799,102599
526801920847,3799,102599
526801920843,3799,102599
526801920657,3599,97199
526801920651,3599,97199
526801920647,3599,97199
526801920643,3599,97199
526801050647,3199,86399
526801050643,3199,86399
526801050640,3199,86399
526801050636,3199,86399
526801050557,2999,80999
526801050551,2999,80999
526801050547,2999,80999
526801050543,2999,80999
526801050540,2999,80999
526801050536,2999,80999
526801040857,3499,94499
526801040851,3499,94499
526801040847,3499,94499
526801040843,3499,94499
526801040840,3499,94499
526801040836,3499,94499
526801040657,3199,86399
526801040651,3199,86399
526801040647,3199,86399
526801040643,3199,86399
526801040640,3199,86399
526801040636,3199,86399
526801040557,2999,80999
526801040551,2999,80999
526801040547,2999,80999
526801040543,2999,80999
526801040540,2999,80999
526801040536,2999,80999
526801000760,2799,75599
526801000754,2799,75599
526801000748,2799,75599
526801000744,2799,75599
526503789958,4999,134999
526503789954,4999,134999
526503789950,4999,134999
526503789947,4999,134999
526503729958,2999,80999
526503729954,2999,80999
526503729950,2999,80999
526503729947,2999,80999
526503309959,1999,53999
526503309956,1999,53999
526503309953,1999,53999
526503309950,1999,53999
526503249959,1999,53999
526503249956,1999,53999
526503249953,1999,53999
526503249950,1999,53999
526503149956,1799,48599
526503149952,1799,48599
526503149948,1799,48599
526503149945,1799,48599
526503139956,1799,48599
526503139952,1799,48599
526503139948,1799,48599
526503139945,1799,48599
526503129956,1799,48599
526503129952,1799,48599
526503129948,1799,48599
526503129945,1799,48599
526502959956,1599,43199
526502959952,1599,43199
526502959948,1599,43199
526502959945,1599,43199
526502299937,799,21599
526502289937,799,21599
526502239931,799,21599
526502229931,799,21599
526502179925,699,18899
526502169925,699,18899
526502119944,649,17599
526502119937,649,17599
526502109944,649,17599
526502109937,649,17599
526502059944,649,17599
526502059937,649,17599
526502049944,649,17599
526502049937,649,17599
526501999944,649,17599
526501999937,649,17599
525901280440,4999,134999
525900360851,7199,194399
525900360847,7199,194399
525900360844,7199,194399
525900360841,7199,194399
525900320851,6999,188999
525900320847,6999,188999
525900320844,6999,188999
525900320841,6999,188999
525900290851,5999,161999
525900290847,5999,161999
525900290844,5999,161999
525900290841,5999,161999
525900280851,5999,161999
525900280847,5999,161999
525900280844,5999,161999
525803200450,3699,99899
525803200445,3699,99899
525803160460,3699,99899
525803160455,3699,99899
525803160450,3699,99899
525803130855,4599,124199
525803130850,4599,124199
525803130845,4599,124199
525803130655,4399,118799
525803130650,4399,118799
525803130645,4399,118799
525803120855,4599,124199
525803120850,4599,124199
525803120845,4599,124199
525803120655,4399,118799
525803120650,4399,118799
525300829960,999.95,26999
525300829956,999.95,26999
525300829952,999.95,26999
525300829948,999.95,26999
525300819954,999.95,26999
525300819948,999.95,26999
525300819944,999.95,26999
525300809960,999.95,26999
525202719937,799.95,21599
525202709940,799.95,21599
525202709937,799.95,21599
525202679949,699.95,18899
525202679944,699.95,18899
525202679940,699.95,18899
525202679937,699.95,18899
525202669949,699.95,18899
525201069953,699.95,18899
525201069949,699.95,18899
525201069944,699.95,18899
525201059953,699.95,18899
525201059949,699.95,18899
525201059944,699.95,18899
525200929953,599.95,16199
525200929949,599.95,16199
525005609941,5499,148499
525005609938,5499,148499
525005559948,3999,107999
525005559944,3999,107999
525005359943,3499,94499
525005359940,3499,94499
525005309952,6999,188999
525005309948,6999,188999
525005009947,5999,161999
525005009945,5999,161999
524901480452,5799,156599
524901480448,5799,156599
524901360448,7399,199799
524901360444,7399,199799
524901320440,5999,161999
524901280448,4999,134999
524901200452,4999,134999
524901200448,4999,134999
524204709944,5599,151199
524204659944,3599,97199
524204609952,2599,70199
526906580558,2999,80999
526906580553,2999,80999
526906580548,2999,80999
526906580544,2999,80999
526906570558,2999,80999
526906570553,2999,80999
526906570548,2999,80999
526906570544,2999,80999
526803960456,5999,161999
526803960452,5999,161999
526803960448,5999,161999
526803960445,5999,161999
526803930456,4999,134999
526803930452,4999,134999
526803930448,4999,134999
526803930445,4999,134999
526803920456,4999,134999
526803920452,4999,134999
526803920448,4999,134999
526803920445,4999,134999
526803760452,3299,89099
526803760448,3299,89099
526803760444,3299,89099
526803720456,3299,89099
526803720452,3299,89099
526803720448,3299,89099
526803530855,4999,134999
526803530850,4999,134999
526803530845,4999,134999
526803530655,4799,129599
526803530650,4799,129599
526803530645,4799,129599
526803490855,4999,134999
526803490850,4999,134999
526803490845,4999,134999
526803490655,4799,129599
526803490650,4799,129599
526803490645,4799,129599
526802600851,5499,148499
526802600847,5499,148499
526802600843,5499,148499
526802600840,5499,148499
526802600651,5199,140399
526802600647,5199,140399
526802600643,5199,140399
526802600640,5199,140399
526802560851,5499,148499
526802560847,5499,148499
526802560843,5499,148499
526802560840,5499,148499
526802560651,5199,140399
526802560647,5199,140399
526802560643,5199,140399
526802560640,5199,140399
526802250851,4499,121499
526802250847,4499,121499
526802250843,4499,121499
526802250840,4499,121499
526802250651,4199,113399
526802250647,4199,113399
526802250643,4199,113399
526802250640,4199,113399
526802170857,4499,121499
526802170851,4499,121499
526801090857,3799,102599
526801090851,3799,102599
526801090847,3799,102599
526801090843,3799,102599
526801090840,3799,102599
526801090836,3799,102599
526801090657,3599,97199
526801090651,3599,97199
526801090647,3599,97199
526801090643,3599,97199
526801090640,3599,97199
526801090636,3599,97199
526801080857,3799,102599
526801080851,3799,102599
526801080847,3799,102599
526801080843,3799,102599
526801080840,3799,102599
526801080836,3799,102599
526801080657,3599,97199
526801080651,3599,97199
526801080647,3599,97199
526801080643,3599,97199
526801080640,3599,97199
526801080636,3599,97199
526801050857,3499,94499
526801050851,3499,94499
526801050847,3499,94499
526801050843,3499,94499
526801050840,3499,94499
526801050836,3499,94499
526801050657,3199,86399
526801050651,3199,86399
526800610847,3899,105299
526800610843,3899,105299
526800610840,3899,105299
526800610647,3699,99899
526800610643,3699,99899
526800610640,3699,99899
526800610547,3499,94499
526800610543,3499,94499
526800610540,3499,94499
526800600847,3899,105299
526800600843,3899,105299
526800600840,3899,105299
526800600647,3699,99899
526800600643,3699,99899
526800600640,3699,99899
526800600547,3499,94499
526800600543,3499,94499
526800600540,3499,94499
526800570851,3899,105299
526800570847,3899,105299
526800570843,3899,105299
526800570840,3899,105299
526800570838,3899,105299
526800570651,3699,99899
526800570647,3699,99899
526800570643,3699,99899
526800570640,3699,99899
526800570638,3699,99899
526800570551,3499,94499
526800570547,3499,94499
526800570543,3499,94499
526800570540,3499,94499
526201239960,699,18899
526201239953,699,18899
526201239949,699,18899
526201239944,699,18899
526201239940,699,18899
526201239937,699,18899
526201239932,699,18899
526201229960,699,18899
526201229932,699,18899
526201219960,699,18899
526201219932,699,18899
526201209960,699,18899
526201209932,699,18899
526201069949,599,16199
526201069944,599,16199
526201069940,599,16199
526201069937,599,16199
526201029960,599,16199
526201029953,599,16199
526201029949,599,16199
526201029944,599,16199
526201029932,599,16199
526201019960,599,16199
526201019953,599,16199
526201019949,599,16199
526201019944,599,16199
526201019940,599,16199
526201019937,599,16199
526201019932,599,16199
526201009960,599,16199
526201009953,599,16199
526201009949,599,16199
525803880843,4699,126899
525803880840,4699,126899
525803880647,4399,118799
525803880643,4399,118799
525803880640,4399,118799
525803840847,4699,126899
525803840843,4699,126899
525803840840,4699,126899
525803840647,4399,118799
525803840643,4399,118799
525803840640,4399,118799
525803800851,4699,126899
525803800847,4699,126899
525803800843,4699,126899
525803800651,4399,118799
525803800647,4399,118799
525803680655,5199,140399
525803680650,5199,140399
525803680645,5199,140399
525803640860,5399,145799
525803640855,5399,145799
525803640850,5399,145799
525803640660,5199,140399
525803640655,5199,140399
525803640650,5199,140399
525803480855,5399,145799
525803480850,5399,145799
525803480845,5399,145799
525803440855,5399,145799
525803440850,5399,145799
525803440845,5399,145799
525803400860,5399,145799
525802880455,3999,107999
525802880450,3999,107999
525802880445,3999,107999
525802800460,3999,107999
525802800455,3999,107999
525802800450,3999,107999
525800290434,3399,91799
525800280434,3399,91799
525501939937,729.95,19799
525501929937,729.95,19799
525501579931,699.95,18899
525501569931,699.95,18899
525501339925,699.95,18899
525501329925,699.95,18899
525500679931,599.95,16199
525500669931,599.95,16199
525300809956,999.95,26999
525300809952,999.95,26999
525300809948,999.95,26999
525300739954,799.95,21599
525300739948,799.95,21599
525300739944,799.95,21599
525300729960,799.95,21599
525300729956,799.95,21599
525202769949,799.95,21599
525202769944,799.95,21599
525202759953,799.95,21599
525202759949,799.95,21599
525202759944,799.95,21599
525202739940,799.95,21599
525202739937,799.95,21599
525202719940,799.95,21599
525201219953,1099,29699
525201219949,1099,29699
525201219944,1099,29699
525201219940,1099,29699
525201119960,799.95,21599
525201119953,799.95,21599
525201119949,799.95,21599
525201119944,799.95,21599
525200459940,599.95,16199
525200459937,599.95,16199
525005609948,5499,148499
525005609944,5499,148499
525005409943,4499,121499
525005409940,4499,121499
525005359951,3499,94499
525005359947,3499,94499
525005209944,3599,97199
525005209941,3599,97199
525005009954,5999,161999
525005009951,5999,161999
524901440440,5999,161999
524901400452,9999,269999
524901360440,7399,199799
524901320452,5999,161999
524901240452,6399,172799
524901240448,6399,172799
524204709948,5599,151199
524204659941,3599,97199
524204609944,2599,70199
526802170847,4499,121499
526802170843,4499,121499
526802170657,4199,113399
526802170651,4199,113399
526802170647,4199,113399
526802170643,4199,113399
526802130851,4299,116099
526802130847,4299,116099
526802130843,4299,116099
526802130840,4299,116099
526802130651,3999,107999
526802130647,3999,107999
526802130643,3999,107999
526802130640,3999,107999
526802120851,4299,116099
526802120847,4299,116099
526802120843,4299,116099
526802120840,4299,116099
526802120651,3999,107999
526802120647,3999,107999
526802120643,3999,107999
526802120640,3999,107999
526802090851,4299,116099
526802090847,4299,116099
526802090843,4299,116099
526802090840,4299,116099
526802090651,3999,107999
526802090647,3999,107999
526802090643,3999,107999
526802090640,3999,107999
526802080851,4299,116099
526802080847,4299,116099
526802080843,4299,116099
526802080840,4299,116099
526802080651,3999,107999
526802080647,3999,107999
526802080643,3999,107999
526802080640,3999,107999
526802040857,4299,116099
526802040851,4299,116099
526802040847,4299,116099
526802040843,4299,116099
526802040840,4299,116099
526802040657,3999,107999
526802040651,3999,107999
526802040647,3999,107999
526802040643,3999,107999
526802040640,3999,107999
526802010851,3799,102599
526802010847,3799,102599
526802010843,3799,102599
526802010840,3799,102599
526802010651,3599,97199
526802010647,3599,97199
526802010643,3599,97199
526802010640,3599,97199
526802000851,3799,102599
526802000847,3799,102599
526802000843,3799,102599
526802000840,3799,102599
526802000651,3599,97199
526802000647,3599,97199
526802000643,3599,97199
526802000640,3599,97199
526801160647,3599,97199
526801160643,3599,97199
526801160640,3599,97199
526801160636,3599,97199
526801140847,3799,102599
526801140843,3799,102599
526801140840,3799,102599
526801140836,3799,102599
526801140647,3599,97199
526801140643,3599,97199
526801140640,3599,97199
526801140636,3599,97199
526801130847,3799,102599
526801130843,3799,102599
526801130840,3799,102599
526801130836,3799,102599
526801130647,3599,97199
526801130643,3599,97199
526801130640,3599,97199
526801130636,3599,97199
526801100857,3799,102599
526801100851,3799,102599
526801100847,3799,102599
526801100843,3799,102599
526801100840,3799,102599
526801100836,3799,102599
526801100657,3599,97199
526801100651,3599,97199
526801100647,3599,97199
526801100643,3599,97199
526801100640,3599,97199
526801100636,3599,97199
526801000741,2799,75599
526801000737,2799,75599
526800880847,6999,188999
526800880843,6999,188999
526800840851,5999,161999
526800840847,5999,161999
526800840843,5999,161999
526800840840,5999,161999
526800820851,4999,134999
526800820847,4999,134999
526800820843,4999,134999
526800820840,4999,134999
526800810851,4999,134999
526800810847,4999,134999
526800810843,4999,134999
526800810840,4999,134999
526800800851,4999,134999
526800800847,4999,134999
526800800843,4999,134999
526800800840,4999,134999
526800770851,4599,124199
526800770847,4599,124199
526800770843,4599,124199
526800770840,4599,124199
526800770651,4299,116099
526800770647,4299,116099
526800770643,4299,116099
526800770640,4299,116099
526800640851,3999,107999
526800640847,3999,107999
526800640843,3999,107999
526800640840,3999,107999
526502949956,1599,43199
526502949952,1599,43199
526502949948,1599,43199
526502949945,1599,43199
526502929956,1399,37799
526502929952,1399,37799
526502929948,1399,37799
526502929945,1399,37799
526502919956,1399,37799
526502919952,1399,37799
526502919948,1399,37799
526502919945,1399,37799
526502849956,1499,40499
526502849952,1499,40499
526502849948,1499,40499
526502849945,1499,40499
526502839956,1499,40499
526502839952,1499,40499
526502839948,1499,40499
526502839945,1499,40499
526502829956,1499,40499
526502829952,1499,40499
526502829948,1499,40499
526502829945,1499,40499
526502649956,1299,35099
526502649952,1299,35099
526502649948,1299,35099
526502649945,1299,35099
526502619956,1099,29699
526502619952,1099,29699
526502619948,1099,29699
526502619945,1099,29699
526201009944,599,16199
526201009932,599,16199
526200659960,1399,37799
526200659953,1399,37799
526200659949,1399,37799
526200659944,1399,37799
526200659940,1399,37799
526200459960,599,16199
526200459953,599,16199
526200459949,599,16199
526200459944,599,16199
526200459940,599,16199
526200459937,599,16199
525901520444,5799,156599
525901520440,5799,156599
525901280444,4999,134999
525803800643,4399,118799
525803790455,4999,134999
525803790451,4999,134999
525803790447,4999,134999
525803760455,4199,113399
525803760451,4199,113399
525803760447,4199,113399
525803720855,5399,145799
525803720850,5399,145799
525803720845,5399,145799
525803720655,5199,140399
525803720650,5199,140399
525803720645,5199,140399
525803680855,5399,145799
525803680850,5399,145799
525803680845,5399,145799
525803120645,4399,118799
525803080855,4599,124199
525803080850,4599,124199
525803080845,4599,124199
525803080655,4399,118799
525803080650,4399,118799
525803080645,4399,118799
525803040860,4599,124199
525803040855,4599,124199
525803040850,4599,124199
525803040660,4399,118799
525803040655,4399,118799
525803040650,4399,118799
525802890455,3999,107999
525802890450,3999,107999
525802890445,3999,107999
525500619925,599.95,16199
525500609925,599.95,16199
525500439921,549.95,14899
525500429921,549.95,14899
525500379921,549.95,14899
525500369921,549.95,14899
525500319917,499.95,13499
525500309917,499.95,13499
525203019949,799.95,21599
525203019944,799.95,21599
525203019940,799.95,21599
525203019937,799.95,21599
525202789953,799.95,21599
525202789949,799.95,21599
525202789944,799.95,21599
525202769953,799.95,21599
525202629937,699.95,18899
525202619949,699.95,18899
525202619944,699.95,18899
525202619940,699.95,18899
525202619937,699.95,18899
525202609940,699.95,18899
525202609937,699.95,18899
525201219960,1099,29699
525200929944,599.95,16199
525200909953,599.95,16199
525200909949,599.95,16199
525200909944,599.95,16199
525005509943,6999,188999
525005509940,6999,188999
525005409951,4499,121499
525005409947,4499,121499
525005259944,4599,124199
525005259941,4599,124199
525005209952,3599,97199
525005209948,3599,97199
524901400448,9999,269999
524901400444,9999,269999
524901320448,5999,161999
524901320444,5999,161999
524901240444,6399,172799
524901240440,6399,172799
524204709952,5599,151199
524204659952,3599,97199
524204609948,2599,70199
526907850851,9999,269999
526907850847,9999,269999
526907850844,9999,269999
526907850841,9999,269999
526907810851,8499,229499
526907810847,8499,229499
526907810844,8499,229499
526907810841,8499,229499
526907780851,6999,188999
526907780847,6999,188999
526907780844,6999,188999
526907780841,6999,188999
526907770851,6999,188999
526907770847,6999,188999
526907770844,6999,188999
526907770841,6999,188999
526907650851,6999,188999
526907650848,6999,188999
526907650844,6999,188999
526907650841,6999,188999
526907610851,6999,188999
526907610848,6999,188999
526907610844,6999,188999
526907610841,6999,188999
526907580851,5999,161999
526907580848,5999,161999
526907580844,5999,161999
526907580841,5999,161999
526907570851,5999,161999
526907570848,5999,161999
526907570844,5999,161999
526907570841,5999,161999
526907530851,5999,161999
526907530848,5999,161999
526907530844,5999,161999
526907530841,5999,161999
526801210857,4299,116099
526801210851,4299,116099
526801210847,4299,116099
526801210843,4299,116099
526801210840,4299,116099
526801210836,4299,116099
526801210657,3999,107999
526801210651,3999,107999
526801210647,3999,107999
526801210643,3999,107999
526801210640,3999,107999
526801210636,3999,107999
526801180847,3799,102599
526801180843,3799,102599
526801180840,3799,102599
526801180836,3799,102599
526801180647,3599,97199
526801180643,3599,97199
526801180640,3599,97199
526801180636,3599,97199
526801170847,3799,102599
526801170843,3799,102599
526801170840,3799,102599
526801170836,3799,102599
526801170647,3599,97199
526801170643,3599,97199
526801170640,3599,97199
526801170636,3599,97199
526801160847,3799,102599
526801160843,3799,102599
526801160840,3799,102599
526801160836,3799,102599
526800570538,3499,94499
526800560851,3899,105299
526800560847,3899,105299
526800560843,3899,105299
526800560840,3899,105299
526800560838,3899,105299
526800560651,3699,99899
526800560647,3699,99899
526800560643,3699,99899
526800560640,3699,99899
526800560638,3699,99899
526800560551,3499,94499
526800560547,3499,94499
526800560543,3499,94499
526800560540,3499,94499
526800560538,3499,94499
526503909958,4999,134999
526503909954,4999,134999
526503909950,4999,134999
526503909947,4999,134999
526503849958,3999,107999
526503849954,3999,107999
526503849950,3999,107999
526503849947,3999,107999
526503829958,1999,53999
526503829954,1999,53999
526503829950,1999,53999
526503829947,1999,53999
526503819958,1999,53999
526503819954,1999,53999
526503819950,1999,53999
526503819947,1999,53999
526501989944,649,17599
526501989937,649,17599
526501939937,599,16199
526501929937,599,16199
526501879937,599,16199
526501869937,599,16199
526501699931,649,17599
526501689931,649,17599
526501639931,649,17599
526501629931,649,17599
526501579931,649,17599
526501569931,649,17599
526501519931,549,14899
526501509931,549,14899
526501459931,549,14899
526501449931,549,14899
526501279925,549,14899
526501269925,549,14899
526501159925,549,14899
526501149925,549,14899
526501099925,499,13499
526501089925,499,13499
526501039925,499,13499
526501029925,499,13499
526500919937,479,12999
526500909937,479,12999
526500849931,449,12199
526500799931,449,12199
526500789931,449,12199
526500729925,399,10799
526500679925,399,10799
526500669925,399,10799
525900280841,5999,161999
525900250851,5799,156599
525900250847,5799,156599
525900250844,5799,156599
525900250841,5799,156599
525900240851,5799,156599
525900240847,5799,156599
525900240844,5799,156599
525900240841,5799,156599
525900120648,7999,215999
525900120644,7999,215999
525900080648,9999,269999
525900080644,9999,269999
525900040648,6799,183599
525900040644,6799,183599
525803880847,4699,126899
525803400855,5399,145799
525803400850,5399,145799
525803400845,5399,145799
525803260455,3699,99899
525803260450,3699,99899
525803260445,3699,99899
525803240455,3699,99899
525803240450,3699,99899
525803240445,3699,99899
525803220455,3699,99899
525803220450,3699,99899
525803220445,3699,99899
525803210455,3699,99899
525803210450,3699,99899
525803210445,3699,99899
525803200455,3699,99899
525500259917,499.95,13499
525500249917,499.95,13499
525300919954,1099,29699
525300919948,1099,29699
525300919944,1099,29699
525300909960,1099,29699
525300909956,1099,29699
525300909952,1099,29699
525300909948,1099,29699
525300899954,1099,29699
525300899948,1099,29699
525300899944,1099,29699
525300889960,1099,29699
525300889956,1099,29699
525300889952,1099,29699
525300889948,1099,29699
525300729952,799.95,21599
525300729948,799.95,21599
525203119960,899.95,24299
525203119953,899.95,24299
525203119949,899.95,24299
525203119944,899.95,24299
525203069940,899.95,24299
525203069937,899.95,24299
525202669944,699.95,18899
525202669940,699.95,18899
525202669937,699.95,18899
525202659949,699.95,18899
525202659944,699.95,18899
525202659940,699.95,18899
525202659937,699.95,18899
525202629940,699.95,18899
525200669940,799.95,21599
525200669937,799.95,21599
525200619940,699.95,18899
525200619937,699.95,18899
525200609940,699.95,18899
525200609937,699.95,18899
525200479940,599.95,16199
525200479937,599.95,16199
525005559941,3999,107999
525005559938,3999,107999
525005509951,6999,188999
525005509947,6999,188999
525005309944,6999,188999
525005309941,6999,188999
525005259952,4599,124199
525005259948,4599,124199
524901480444,5799,156599
524901480440,5799,156599
524901440448,5999,161999
524901440444,5999,161999
524901400440,9999,269999
524901360452,7399,199799
524901280444,4999,134999
524901280440,4999,134999
524901200444,4999,134999
524901200440,4999,134999
524204709941,5599,151199
524204659948,3599,97199
524204609941,2599,70199