Kat.č. pův.,Název modelu,Stav,MOC s DPH,MOC bez DPH,KATEGORIE A,KATEGORIE B
050-24309,"ML 2.0 - Držák na smartphone/cyklocomputer CCS 31,8 Connect",Skladem,405 Kč,334 Kč,291 Kč,268 Kč
050-28481,ML - Magnet na rám,Skladem*,270 Kč,223 Kč,194 Kč,179 Kč
050-28491,ML - Košík na lahve magnetický,Na objednávku,675 Kč,558 Kč,485 Kč,446 Kč
050-28493,ML - Držák zámku,Na objednávku,810 Kč,669 Kč,582 Kč,536 Kč
050-28497,ML - Lahev 450ml s magnet.držákem na lahvi,Skladem*,"1,026 Kč",848 Kč,737 Kč,678 Kč
050-28498,ML - Lahev 450ml bez magnetu,Skladem*,351 Kč,290 Kč,252 Kč,232 Kč
050-28502,ML - Lahev 590ml s magnet.držákem na lahvi,Skladem*,"1,161 Kč",960 Kč,834 Kč,768 Kč
050-28942,Lahev 800 ml s magnetem  | FidlOck - Grey,Skladem*,"1,215 Kč","1,004 Kč",873 Kč,803 Kč
050-28945,ML - Lahev 750ml s magnet.držákem na lahvi,Skladem*,"1,080 Kč",892 Kč,776 Kč,714 Kč
050-31840,ML - Set zámek s držákem,Na objednávku,"3,185 Kč","2,632 Kč","2,289 Kč","2,106 Kč"
060-52498,ML - Představec Sonic 50mm,Skladem*,944 Kč,780 Kč,678 Kč,624 Kč
060-52499,ML - Představec Sonic 70mm,Skladem*,944 Kč,780 Kč,678 Kč,624 Kč
060-52500,AS-ML1-55 Představec 55 mm/0°,Na objednávku,"1,080 Kč",893 Kč,776 Kč,714 Kč
060-52501,AS-ML2-80 Představec 80 mm/+7°,Na objednávku,"1,080 Kč",893 Kč,776 Kč,714 Kč
060-52502,AS-ML2-95 Představec 95 mm/+7°,Na objednávku,"1,080 Kč",893 Kč,776 Kč,714 Kč
060-52503,AS-ML2-110 Představec 110 mm/+7°,Na objednávku,"1,080 Kč",893 Kč,776 Kč,714 Kč
060-52504,AS-ML3-60 Představec 60 mm/+-7°,Skladem,540 Kč,446 Kč,388 Kč,357 Kč
060-52505,AS-ML3-75 Představec 75 mm/+-7°,Skladem,540 Kč,446 Kč,388 Kč,357 Kč
060-52506,AS-ML3-90 Představec 90 mm/+-7°,Skladem,540 Kč,446 Kč,388 Kč,357 Kč
060-52507,AS-ML3-105 Představec 105 mm/+-7°,Na objednávku,540 Kč,446 Kč,388 Kč,357 Kč
060-52508,AS-ML3-120 Představec 120 mm/+-7°,Skladem,540 Kč,446 Kč,388 Kč,357 Kč
060-52510,ML Objímka | řídící spojka,Skladem,351 Kč,290 Kč,252 Kč,232 Kč
060-52511,"QR ML - 1 35 Rychloupínák sedlovky s klipem na světlo pr.34,9 mm",Na objednávku,675 Kč,558 Kč,485 Kč,446 Kč
060-52512,"SC ML - 1 35 Objímka sedlovky s klipem na světlo pr.34,9 mm",Skladem,540 Kč,446 Kč,388 Kč,357 Kč
060-52513,"QR ML - 1 32 Rychloupínák sedlovky s klipem na světlo pr.31,8 mm",Na objednávku,675 Kč,558 Kč,485 Kč,446 Kč
060-52514,"SC1 ML - 1 32 Objímka sedlovky s klipem na světlo pr.31,8 mm",Skladem,540 Kč,446 Kč,388 Kč,357 Kč
060-52519,ML - Nástavec na představec HUMPERT ERGOTEC SWELL,Na objednávku,621 Kč,513 Kč,446 Kč,411 Kč
060-52523,ML - představec Ergotec SWELL X 70  s držákem ML,Na objednávku,"2,430 Kč","2,008 Kč","1,746 Kč","1,606 Kč"
060-52524,ML - Sedlová objímka QR ML-2 pr.38,Skladem,675 Kč,558 Kč,485 Kč,446 Kč
060-52525,ML - Držák zadního světla ML-UTS pod sedlo,Skladem,270 Kč,223 Kč,194 Kč,178 Kč
060-52721,ML - Adaptér stojan KSAm 18mm Sonic,Skladem,648 Kč,535 Kč,465 Kč,428 Kč
060-76695,ML - Zadní blatník pro Ebike,Na objednávku,"1,350 Kč","1,116 Kč",970 Kč,893 Kč
060-76696,ML - Zadní blatník,Na objednávku,"1,350 Kč","1,116 Kč",970 Kč,893 Kč
060-76697,ML - Přední blatník,Na objednávku,"1,215 Kč","1,004 Kč",873 Kč,803 Kč
060-76700,"ML Sada blatníků MTB 26""-29""Connect Ebike",Na objednávku,"2,160 Kč","1,785 Kč","1,552 Kč","1,428 Kč"
060-76701,"ML Sada blatníků MTB 26""-29"" Recharge non Ebike",Na objednávku,"2,160 Kč","1,785 Kč","1,552 Kč","1,428 Kč"
060-76706,"ML - Distanční podložka 1,8""",Na objednávku,216 Kč,179 Kč,155 Kč,143 Kč
070-50498,ML - High Beam 150 LUX Connect,Skladem*,"3,510 Kč","2,901 Kč","2,522 Kč","2,321 Kč"
070-50503,ML - Přední světlo Light 100 LUX Connect,Na objednávku,"2,970 Kč","2,455 Kč","2,134 Kč","1,964 Kč"
070-50504,ML - Přední světlo Light 70 LUX Connect pro Ebike,Na objednávku,"2,160 Kč","1,785 Kč","1,552 Kč","1,428 Kč"
070-50505,ML - Přední světlo Light 50 LUX Connect pro Ebike,Na objednávku,"1,620 Kč","1,339 Kč","1,164 Kč","1,071 Kč"
070-50506,ML - Light 2 Rear Connect,Skladem,891 Kč,736 Kč,640 Kč,589 Kč
070-50507,"ML - zadní světlo pro zadní blatník MTB 26-29"" pro Ebike",Na objednávku,810 Kč,669 Kč,582 Kč,536 Kč
070-50508,ML - Odrazka přední bílá s klipem,Skladem*,108 Kč,89 Kč,77 Kč,71 Kč
070-50509,ML - Odrazka zadní červená s klipem,Skladem*,108 Kč,89 Kč,77 Kč,71 Kč
070-50512,ML - Sada světel Light 30 LUX Recharge - non Ebike,Na objednávku,"2,160 Kč","1,785 Kč","1,552 Kč","1,428 Kč"
070-50516,ML - Zadní světlo pro non Ebike,Na objednávku,891 Kč,736 Kč,640 Kč,589 Kč
070-50520,ML - Přední světlo Light 30 LUX Recharge - non Ebike,Na objednávku,"1,620 Kč","1,339 Kč","1,164 Kč","1,071 Kč"
070-50522,ML - Light Supernova M99 Mini PRO,Na objednávku,"9,153 Kč","7,564 Kč","6,578 Kč","6,052 Kč"
070-50523,ML - Sada světel 100 Lux Set pro Ebike,Na objednávku,"3,779 Kč","3,123 Kč","2,716 Kč","2,498 Kč"
070-50530,ML - Zadní kabel Brose,Skladem,486 Kč,401 Kč,349 Kč,321 Kč
070-50534,ML - Přední světlomet Supernova MINI 2 60 LUX pro Ebike,Na objednávku,"4,023 Kč","3,325 Kč","2,891 Kč","2,660 Kč"
070-50535,"ML - dobíjecí magnet pro představec ML 06052500, 06052508",Skladem,108 Kč,89 Kč,77 Kč,71 Kč
070-50536,"ML - dobíjecí magnet pro sedlovou objímku ML 06052511, 06052514",Skladem,108 Kč,89 Kč,77 Kč,71 Kč
070-50541,ML -Světlomet Lumotec IQ-X ML 150 Lux pro Ebike,Na objednávku,"5,400 Kč","4,463 Kč","3,881 Kč","3,570 Kč"
070-50542,ML -Světlomet Lumotec IQ- XS E ML 70 Lux pro Ebike,Na objednávku,"4,050 Kč","3,347 Kč","2,911 Kč","2,678 Kč"
070-50543,ML -Zadní světlo RearLight pro Ebike,Skladem,891 Kč,736 Kč,640 Kč,589 Kč
070-50544,ML - Set světel dobíjecí Phenon 30 LUX,Na objednávku,"2,159 Kč","1,784 Kč","1,551 Kč","1,427 Kč"
070-50548,ML - Dobíjecí zdroj  pro smartphone (USB),Skladem,"1,080 Kč",893 Kč,776 Kč,714 Kč
070-50552,ML - Sada světel SkyeLight 110 LUX Connect,Na objednávku,"5,129 Kč","4,239 Kč","3,686 Kč","3,391 Kč"
070-50555,ML - Supernova Mini 2 Pro ML Connect,Na objednávku,"5,913 Kč","4,887 Kč","4,249 Kč","3,909 Kč"
070-50556,ML - Charching Cable USB-C/Micro-USB 30 cm,Skladem,270 Kč,223 Kč,194 Kč,179 Kč
070-50557,ML - Charching Cable USB-C/USB-L 30 cm,Skladem,270 Kč,223 Kč,194 Kč,179 Kč
070-50558,ML - Charching Cable USB-C/Lightning 30 cm,Skladem,270 Kč,223 Kč,194 Kč,179 Kč
070-50559,ML - Interface Connect One4All Cable Front 1350mm,Skladem*,351 Kč,290 Kč,252 Kč,232 Kč
070-50560,ML - Interface Connect One4All Cable Rear 800mm,Na objednávku,351 Kč,290 Kč,252 Kč,232 Kč
070-50567,ML - Přední světlo SkyeLight 60 LUX  Connect,Skladem,"1,890 Kč","1,562 Kč","1,358 Kč","1,250 Kč"
070-50568,ML - Přední světlo SkyeLight 80 LUX  Connect,Skladem,"2,430 Kč","2,008 Kč","1,746 Kč","1,607 Kč"
070-50569,ML - Přední světlo SkyeLight 110 LUX Connect,Skladem,"4,049 Kč","3,346 Kč","2,910 Kč","2,677 Kč"
070-50570,ML - SkyeLight REAR BL Connect,Skladem*,"1,350 Kč","1,116 Kč",970 Kč,893 Kč
070-50571,ML - SkyeLight REAR Connect,Na objednávku,"1,080 Kč",893 Kč,776 Kč,714 Kč
070-50585,ML 2.0 - eLIGHT 70 Connect | NOVINKA,Skladem*,"1,350 Kč","1,116 Kč",970 Kč,893 Kč
070-50586,ML 2.0  - eLIGHT 100 Connect | NOVINKA,Skladem*,"1,890 Kč","1,562 Kč","1,358 Kč","1,250 Kč"
070-50587,ML 2.0 - eLIGHT 100 Connect s dálkovým světlem | NOVINKA,Skladem*,"2,699 Kč","2,230 Kč","1,939 Kč","1,784 Kč"
070-50594,ML 2.0 - Horní krytka pro držák MonkeyLink 2.0 Connect,Skladem,405 Kč,334 Kč,291 Kč,268 Kč
070-50707,ML - objímka s držákem na řídítka 35 mm,Skladem,269 Kč,222 Kč,193 Kč,178 Kč
080-40384,ML 2.0  - Bezdrátový nabíjecí modul Connect | NOVINKA,Skladem,"1,890 Kč","1,562 Kč","1,358 Kč","1,250 Kč"
080-40385,ML 2.0 - Univerzální bezdrátový nabíjecí modul Connect | NOVINKA,Skladem*,"1,890 Kč","1,562 Kč","1,358 Kč","1,250 Kč"