LfSn;NrLf;EAN;Produkt;Marke;Modell;Spezifikation;Hersteller;Farbe;Modelljahr;Wgr;EK_PL;UVP_PL;UAVP_PL;image;image-transparent;image-detail-1;image-detail-2;image-detail-3;Dimension (ABME);Fastening (BEFE);Brake light function (BREL);Gross weight (BRUT);Diameter (mm) (DURC);Colours for shop filters (FAF2);Manufacturer color (FARB);Colours for shop filters (FARF);High Beam (FEBE);Hazardous goods (GEFG);Weight ** (GEW);Size (parts) (GRTE);Colours (for webshops) (GRUF);Hersteller (HERS);Colours (for webshops) (HLF1); Integrated large-area Z reflector (IGBE);Capacity indicator (KIBE);Length (LANG);Light source (LEUM);Scope of delivery (LIEF);Material (MATE);Stem material (MAVB);MonkeyLink Ready (MKBE);Net weight (NETT);close-range illumination (NFBE);NOS (NOS);Tilt angle (NWVB);Product type (PRAR);Categorie (PRGR);Stem length (mm) (RGVL);Sensor automation (SABE);ON/OFF switch (SALT);Shaft diameter (mm) (SDMR); parking light (STAN);StVZO approval (STBE);Power supply (STRO);Daytime running light (TAGF);Overvoltage protection (UBEZ)
"ZEG";"060-52501";"4002556871116";"Stem";"MonkeyLink";"AS-ML2-80 31,8 mm / 80 mm";"";"MonkeyLink";"Schwarz";"2023";"12421";"22.1900";"39.9900";"0.0000";"https://assets.zeg.de/1359445/hub_main/ZEG_060-52501.jpg";"https://assets.zeg.de/1359445/hub_transparent/ZEG_060-52501.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"Aluminium; Steel";"Alu, Steel";"";"195 g";"";"no";"7 °";"Stems";"Ahead stem";"80 mm";"";"";"28,6 mm";"";"";"";"";""
"ZEG";"050-31841";"4003318909726";"Lock";"MonkeyLink";"BORDO™ Combo 6000C/90 + Halter für MoneyLink";"";"Abus";"Schwarz";"2020";"1349";"55.8700";"117.9500";"0.0000";"https://assets.zeg.de/1980155/hub_main/ZEG_050-31841_main.jpg";"https://assets.zeg.de/1980155/hub_transparent/ZEG_050-31841_main.png";"";"";"";"";"MonkeyLink magnetic holder";"";"";"";"";"Schwarz";"black";"";"";"1250 g";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"900 mm";"";"";"";"";"";"";"";"no";"";"Bicycle locks";"Folding shackle lock";"";"";"";"";"";"";"";"";""
"ZEG";"050-31840";"4003318909733";"Lock";"MonkeyLink";"BORDO™ 6000K/90 schwarz + Halter für MonkeyLink";"";"Abus";"Schwarz";"2020";"1349";"55.8700";"117.9500";"0.0000";"https://assets.zeg.de/1089552/hub_main/ZEG_050-31840.jpg";"https://assets.zeg.de/1089552/hub_transparent/ZEG_050-31840.png";"";"";"";"";"MonkeyLink magnetic holder";"";"";"";"";"Schwarz";"black";"";"";"1200 g";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"900 mm";"";"";"";"";"";"";"";"no";"";"Bicycle locks";"Folding shackle lock";"";"";"";"";"";"";"";"";""
"ZEG";"050-28502";"4002556954277";"Drinking bottle";"MonkeyLink";"ML-MonkeyBottle 590ml";"";"Fidlock";"grey";"2023";"1361";"21.0800";"42.9900";"0.0000";"https://assets.zeg.de/1359535/hub_main/ZEG_050-28502.jpg";"https://assets.zeg.de/1359535/hub_transparent/ZEG_050-28502.png";"";"";"";"";"Magnetic locking";"";"";"";"";"grey";"grey";"";"";"";"";"grey";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Bottles & holders";"Drinking bottle";"";"";"";"";"";"";"";"";""
"ZEG";"050-28493";"4003318888861";"Teie & Zubehör";"MonkeyLink";"Bordo 6000/90 Halter für MonkeyLink";"";"Abus";"Schwarz";"2023";"1349";"16.0000";"29.9500";"0.0000";"https://assets.zeg.de/1359547/hub_main/ZEG_050-28493.jpg";"https://assets.zeg.de/1359547/hub_transparent/ZEG_050-28493.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Bicycle locks";"Lock accessories";"";"";"";"";"";"";"";"";""
"ZEG";"050-28491";"4002556917609";"Holder";"MonkeyLink";"ML-AnyBottle";"";"MonkeyLink";"Schwarz";"2023";"1362";"12.1500";"24.9500";"0.0000";"https://assets.zeg.de/1359559/hub_main/ZEG_050-28491.jpg";"https://assets.zeg.de/1359559/hub_transparent/ZEG_050-28491.png";"";"";"";"";"Magnetic locking";"";"";"";"";"Schwarz";"black";"";"";"92 g";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"92 g";"";"no";"";"Bottles & holders";"Water bottle holder";"";"";"";"";"";"";"";"";""
"ZEG";"050-28488";"4251207400605";"ML-Uni Base";"MonkeyLink";"ML-Uni Base 80118";"";"Fidlock";"Schwarz";"2023";"1362";"12.2600";"24.9900";"0.0000";"https://assets.zeg.de/1359571/hub_main/ZEG_050-28488.jpg";"https://assets.zeg.de/1359571/hub_transparent/ZEG_050-28488.png";"";"";"";"";"Silicone strap";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Bottles & holders";"Water bottle holder";"";"";"";"";"";"";"";"";""
"ZEG";"050-28487";"4251207400513";"Flaschenhalter";"MonkeyLink";"Gravity Kit ";"";"Fidlock";"Schwarz";"2023";"1362";"11.2500";"22.9500";"0.0000";"https://assets.zeg.de/1791381/hub_main/ZEG_050-28487.jpg";"https://assets.zeg.de/1791381/hub_transparent/ZEG_050-28487.png";"";"";"";"";"Bell";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Bottles & holders";"Water bottle holder";"";"";"";"";"";"";"";"";""
"ZEG";"050-28481";"";"Magnetverschluss";"MonkeyLink";"ML-Magnethalter";"";"Fidlock";"Schwarz";"2023";"1362";"5.1500";"9.9900";"0.0000";"https://assets.zeg.de/1359583/hub_main/ZEG_050-28481.jpg";"https://assets.zeg.de/1359583/hub_transparent/ZEG_050-28481.png";"";"";"";"";"Screw connection";"";"";"";"";"Schwarz";"black";"";"";"18 g";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"18 g";"";"no";"";"Bottles & holders";"Water bottle holder";"";"";"";"";"";"";"";"";""
"ZEG";"050-24311";"4032782080815";"Displayhalter";"MonkeyLink";"MonkeyLink 2.0 Connect / Dual M5 Screen Light Mount";"";"";"schwarz";"2025";"1323";"12.1000";"24.9900";"0.0000";"https://assets.zeg.de/1976180/hub_main/ZEG_050-24311_main.jpg";"https://assets.zeg.de/1976180/hub_transparent/ZEG_050-24311_main.png";"https://assets.zeg.de/1976183/hub_main/ZEG_050-24311_detail_1.jpg";"";"";"";"";"";"";"";"";"schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Electronic accessories";"Electronics accessories";"";"";"";"";"";"";"";"";""
"ZEG";"050-24310";"4032782080808";"Displayhalter";"MonkeyLink";"MonkeyLink 2.0 Connect  / Screen Mount CCS 35 mm";"";"";"schwarz";"2025";"1323";"4.0000";"14.9900";"0.0000";"https://assets.zeg.de/1974642/hub_main/ZEG_050-24310_main.jpg";"https://assets.zeg.de/1974642/hub_transparent/ZEG_050-24310_main.png";"https://assets.zeg.de/1974645/hub_main/ZEG_050-24310_detail_1.jpg";"";"";"";"";"";"";"";"";"schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Electronic accessories";"Electronics accessories";"";"";"";"";"";"";"";"";""
"ZEG";"050-24309";"4032782080792";"Displayhalter";"MonkeyLink";"MonkeyLink 2.0 Connect / Screen Mount CCS 31,8 mm";"";"";"schwarz";"2025";"1323";"4.0000";"14.9900";"0.0000";"https://assets.zeg.de/2013432/hub_main/ZEG_050-24309_main.jpg";"https://assets.zeg.de/2013432/hub_transparent/ZEG_050-24309_main.png";"https://assets.zeg.de/1974651/hub_main/ZEG_050-24309_detail_1.jpg";"";"";"";"";"";"";"";"";"schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Electronic accessories";"Electronics accessories";"";"";"";"";"";"";"";"";""
"ZEG";"040-35320";"4002556887797";"Ersatzteil";"MonkeyLink";"MonkeyLink ML-Screw M4x5v2a";"";"";"silver";"";"1284";"0.3000";"0.9900";"0.0000";"https://assets.zeg.de/1098795/hub_main/ZEG_040-35320.jpg";"https://assets.zeg.de/1098795/hub_transparent/ZEG_040-35320.png";"";"";"";"";"";"";"";"";"";"silver";"silver";"no";"";"";"";"silver";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"lighting";"Lighting accessories";"";"";"";"";"no";"yes";"";"no";""
"ZEG";"040-35319";"";"Trennstreifen";"MonkeyLink";"MonkeyLink ML-Divider";"";"";"gelb";"2025";"1211";"0.3900";"0.0000";"0.0000";"https://assets.zeg.de/1857226/hub_main/ZEG_040-35319_main.jpg";"https://assets.zeg.de/1857226/hub_transparent/ZEG_040-35319_main.png";"https://assets.zeg.de/1857204/hub_main/ZEG_040-35319_detail_1.jpg";"https://assets.zeg.de/1857209/hub_main/ZEG_040-35319_detail_2.jpg";"https://assets.zeg.de/1857215/hub_main/ZEG_040-35319_detail_3.jpg";"";"";"";"";"";"";"gelb";"yellow";"";"";"";"";"yellow";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"3 g";"";"no";"";"lighting";"Lighting accessories";"";"";"";"";"";"";"";"";""
"ZEG";"010-00641";"";"Ersatzteil";"MonkeyLink";"ML-MonkeyLink UTS E OEM";"";"";"Schwarz";"2023";"1274";"3.8900";"6.9900";"0.0000";"https://assets.zeg.de/1753477/hub_main/ZEG_010-00641.jpg";"https://assets.zeg.de/1753477/hub_transparent/ZEG_010-00641.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Seat posts";"Seat post accessories";"";"";"";"";"";"";"";"";""
"ZEG";"010-00640";"";"Ersatzteil";"MonkeyLink";"ML-MonkeyLink UTS U OEM";"";"";"Schwarz";"2023";"1274";"5.5500";"9.9900";"0.0000";"https://assets.zeg.de/1753480/hub_main/ZEG_010-00640.jpg";"https://assets.zeg.de/1753480/hub_transparent/ZEG_010-00640.png";"https://assets.zeg.de/1753570/hub_main/ZEG_010-00640_detail_1.jpg";"https://assets.zeg.de/1753567/hub_main/ZEG_010-00640_detail_2.jpg";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Seat posts";"Seat post accessories";"";"";"";"";"";"";"";"";""
"ZEG";"070-50558";"4002556992576";"Ladekabel";"MonkeyLink";"Kabel - USB-C zu Apple Lightning";"";"Comus";"Schwarz";"2021";"12843";"5.5500";"9.9900";"0.0000";"https://assets.zeg.de/1080110/hub_main/ZEG_070-50558.jpg";"https://assets.zeg.de/1080110/hub_transparent/ZEG_070-50558.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"lighting";"Lighting accessories";"";"";"";"";"";"";"E-bike battery";"";""
"ZEG";"070-50557";"4002556992569";"Ladekabel";"MonkeyLink";"Kabel - USB-C zu USB-C";"";"Comus";"Schwarz";"2021";"12843";"5.5500";"9.9900";"0.0000";"https://assets.zeg.de/1080125/hub_main/ZEG_070-50557.jpg";"https://assets.zeg.de/1080125/hub_transparent/ZEG_070-50557.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"lighting";"Lighting accessories";"";"";"";"";"";"";"E-bike battery";"";""
"ZEG";"070-50556";"4002556992583";"Ladekabel";"MonkeyLink";"Kabel - USB-C zu Micro USB";"";"Comus";"Schwarz";"2021";"1283";"5.5500";"9.9900";"0.0000";"https://assets.zeg.de/1080141/hub_main/ZEG_070-50556.jpg";"https://assets.zeg.de/1080141/hub_transparent/ZEG_070-50556.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"Plastic";"";"";"";"";"no";"";"lighting";"Lighting accessories";"";"";"";"";"";"";"E-bike battery";"";""
"ZEG";"070-50555";"4260224791375";"Headlights";"MonkeyLink";"ML-Light Supernova Mini 2 Pro";"";"Supernova";"Schwarz";"2020";"1283";"118.5500";"219.0000";"0.0000";"https://assets.zeg.de/1080149/hub_main/ZEG_070-50555.jpg";"https://assets.zeg.de/1080149/hub_transparent/ZEG_070-50555.png";"";"";"";"";"MonkeyLink adapter plate";"";"";"";"";"Schwarz";"black";"yes";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"LED";"";"Plastic";"";"";"";"yes";"no";"";"lighting";"E-Bike headlights";"";"no";"no";"";"no";"yes";"E-bike battery";"no";"yes"
"ZEG";"070-50552";"4002556031886";"Beleuchtungsset";"MonkeyLink";"ML-SkyeLight 110 Lux Connect Set";"";"Comus";"Schwarz";"2023";"12821";"105.5500";"189.9500";"0.0000";"https://assets.zeg.de/1359064/hub_main/ZEG_070-50552.jpg";"https://assets.zeg.de/1359064/hub_transparent/ZEG_070-50552.png";"";"";"";"";"MonkeyLink adapter plate";"yes";"240 g";"";"";"Schwarz";"black";"";"no";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"yes";"no";"";"LED";"";"Plastic";"";"";"206 g";"no";"no";"";"lighting";"E-bike lighting set";"";"no";"no";"";"no";"yes";"E-bike battery";"yes";"yes"
"ZEG";"070-50551";"4002556031893";"Beleuchtungsset";"MonkeyLink";"ML-SkyeLight 80 Lux Connect Set";"";"Comus";"Schwarz";"2023";"12821";"66.6600";"129.9500";"0.0000";"https://assets.zeg.de/1359079/hub_main/ZEG_070-50551.jpg";"https://assets.zeg.de/1359079/hub_transparent/ZEG_070-50551.png";"";"";"";"";"MonkeyLink adapter plate";"yes";"";"";"";"Schwarz";"black";"";"no";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"yes";"no";"";"LED";"";"Plastic";"";"";"188 g";"no";"no";"";"lighting";"E-bike lighting set";"";"no";"no";"";"no";"yes";"E-bike battery";"yes";"yes"
"ZEG";"070-50550";"4002556031909";"Headlights";"MonkeyLink";"ML-SkyeLight 60 Lux Connect Set";"";"Comus";"Schwarz";"2023";"12821";"55.5500";"99.9500";"0.0000";"https://assets.zeg.de/1359109/hub_main/ZEG_070-50550.jpg";"https://assets.zeg.de/1359109/hub_transparent/ZEG_070-50550.png";"";"";"";"";"MonkeyLink adapter plate";"no";"";"";"";"Schwarz";"black";"";"no";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"yes";"no";"";"LED";"";"Plastic";"";"";"176 g";"no";"no";"";"lighting";"E-bike lighting set";"";"no";"no";"";"no";"yes";"E-bike battery";"no";"yes"
"ZEG";"070-50548";"4002556993375";"Charger";"MonkeyLink";"Power Supply ";"";"Comus";"Schwarz";"2020";"12843";"22.2000";"39.9500";"0.0000";"https://assets.zeg.de/1080365/hub_main/ZEG_070-50548.jpg";"https://assets.zeg.de/1080365/hub_transparent/ZEG_070-50548.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"no";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"lighting";"Lighting accessories";"";"";"";"";"no";"yes";"E-bike battery";"no";""
"ZEG";"070-50542";"4006021012998";"Headlights";"MonkeyLink";"Lumotec IQ- XS E ML";"";"Busch + Müller";"Schwarz";"2019";"12821";"72.9400";"149.9500";"0.0000";"https://assets.zeg.de/1080499/hub_main/ZEG_070-50542.jpg";"https://assets.zeg.de/1080499/hub_transparent/ZEG_070-50542.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"no";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"LED";"";"";"";"";"";"yes";"no";"";"lighting";"E-Bike headlights";"";"yes";"no";"";"no";"yes";"E-bike battery";"yes";""
"ZEG";"070-50541";"4006021013063";"Headlights";"MonkeyLink";"Lumotec IQ-X ML";"";"Busch + Müller";"Schwarz";"2019";"12821";"103.8800";"199.9500";"0.0000";"https://assets.zeg.de/1080532/hub_main/ZEG_070-50541.jpg";"https://assets.zeg.de/1080532/hub_transparent/ZEG_070-50541.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"no";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"LED";"";"";"";"";"";"yes";"no";"";"lighting";"E-Bike headlights";"";"yes";"no";"";"no";"yes";"E-bike battery";"yes";""
"ZEG";"070-50540";"4002556917692";"Cable routing";"MonkeyLink";"Abdeckleiste";"";"Velo Enterprise";"Schwarz";"2019";"12843";"5.5500";"9.9900";"0.0000";"https://assets.zeg.de/1080602/hub_main/ZEG_070-50540.jpg";"https://assets.zeg.de/1080602/hub_transparent/ZEG_070-50540.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"lighting";"Lighting accessories";"";"";"";"";"";"";"";"";""
"ZEG";"070-50538";"4032782049997";"Rear light";"MonkeyLink";"ML-RearLight Sport Connect";"";"Comus";"Red";"2023";"12832";"15.5500";"32.9900";"0.0000";"https://assets.zeg.de/1359166/hub_main/ZEG_070-50538.jpg";"https://assets.zeg.de/1359166/hub_transparent/ZEG_070-50538.png";"";"";"";"";"MonkeyLink adapter plate";"no";"";"";"";"Red";"red";"";"";"";"";"red";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"yes";"no";"";"LED";"";"Plastic";"";"";"24 g";"";"no";"";"lighting";"E-Bike rear light";"";"no";"";"";"no";"yes";"E-bike battery";"";"yes"
"ZEG";"070-50503";"4002556871352";"Headlights";"MonkeyLink";"ML-Light 100 Lux Connect";"";"MonkeyLink";"Schwarz";"2023";"12831";"51.4600";"109.9500";"0.0000";"https://assets.zeg.de/1359283/hub_main/ZEG_070-50503.jpg";"https://assets.zeg.de/1359283/hub_transparent/ZEG_070-50503.png";"";"";"";"";"MonkeyLink adapter plate";"";"";"";"";"Schwarz";"black";"no";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"LED";"";"Plastic";"";"";"79 g";"no";"no";"";"lighting";"E-Bike headlights";"";"no";"no";"";"no";"yes";"E-bike battery";"no";""
"ZEG";"070-50498";"4002556974367";"Headlights";"MonkeyLink";"ML-High Beam 150 Lux Connect";"";"Comus";"Schwarz";"2023";"1283";"72.2000";"129.9900";"0.0000";"https://assets.zeg.de/1359295/hub_main/ZEG_070-50498.jpg";"https://assets.zeg.de/1359295/hub_transparent/ZEG_070-50498.png";"";"";"";"";"MonkeyLink adapter plate";"";"";"";"";"Schwarz";"black";"yes";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"LED";"";"Plastic";"";"";"138 g";"yes";"no";"";"lighting";"E-Bike headlights";"";"no";"no";"";"no";"yes";"E-bike battery";"no";"yes"
"ZEG";"060-76713";"";"Zubehör";"MonkeyLink";"Crossblade hardware kit";"";"";"schwarz";"2024";"13";"7.8000";"0.0000";"449.9500";"";"";"";"";"";"";"";"";"";"";"";"schwarz";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ZEG";"060-76712";"4032782075927";"mudguards";"MonkeyLink";"Cross Blades Gravel";"";"";"Schwarz";"2025";"12614";"17.4800";"34.9500";"0.0000";"https://assets.zeg.de/1988016/hub_main/ZEG_060-76712_main.jpg";"https://assets.zeg.de/1988016/hub_transparent/ZEG_060-76712_main.png";"https://assets.zeg.de/1988028/hub_main/ZEG_060-76712_detail_1.jpg";"https://assets.zeg.de/1988025/hub_main/ZEG_060-76712_detail_2.jpg";"https://assets.zeg.de/1988022/hub_main/ZEG_060-76712_detail_3.jpg";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"29 inch";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"Plastic";"";"";"";"";"no";"";"Mudguards";"Mudguard set";"";"";"";"";"";"";"";"";""
"ZEG";"060-76709";"4032782075897";"mudguards";"MonkeyLink";"Cross Blades 26";"";"";"Schwarz";"2025";"12614";"17.4800";"34.9500";"0.0000";"https://assets.zeg.de/1988061/hub_main/ZEG_060-76709_main.jpg";"https://assets.zeg.de/1988061/hub_transparent/ZEG_060-76709_main.png";"https://assets.zeg.de/1988073/hub_main/ZEG_060-76709_detail_1.jpg";"https://assets.zeg.de/1988070/hub_main/ZEG_060-76709_detail_2.jpg";"https://assets.zeg.de/1988067/hub_main/ZEG_060-76709_detail_3.jpg";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"26 inch";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"Plastic";"";"";"";"";"no";"";"Mudguards";"Mudguard set";"";"";"";"";"";"";"";"";""
"ZEG";"060-76708";"4032782075880";"mudguards";"MonkeyLink";"Cross Blades 27,5";"";"";"Schwarz";"2025";"12614";"17.4800";"34.9500";"0.0000";"https://assets.zeg.de/2077500/hub_main/ZEG_060-76708_main.jpg";"https://assets.zeg.de/2077500/hub_transparent/ZEG_060-76708_main.png";"https://assets.zeg.de/2077512/hub_main/ZEG_060-76708_detail_1.jpg";"https://assets.zeg.de/2077509/hub_main/ZEG_060-76708_detail_2.jpg";"https://assets.zeg.de/2077506/hub_main/ZEG_060-76708_detail_3.jpg";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"27.5+ inch";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"Plastic";"";"";"";"";"no";"";"Mudguards";"Mudguard set";"";"";"";"";"";"";"";"";""
